State,Domestic UOCAVA Voters Ballot Receipt,Deadline for Overseas Ballot Postmark,Priority Group,Transmission Methods,Return Methods,Recommended Mail Date,Ballot Postmark Deadline,UOCAVA Voters Ballot Receipt,Ballot Receipt Deadline
Oklahoma,Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/15/2024,N/A,Election Day,11/5/2024
Oregon,7 calendar days after Election Day,Election Day,LOW,"Post, Electronic, Other","Post, Electronic",10/22/2024,11/5/2024,7 calendar days after Election Day,11/12/2024
Pennsylvania,7 calendar days after Election Day,Not required,HIGH,"Post, Electronic",Post,10/22/2024,N/A,7 calendar days after Election Day,11/12/2024
Puerto Rico,N/A,Election Day,LOW,"Post, Electronic",Post,N/A,11/5/2024,N/A,N/A
Rhode Island,7 calendar days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/22/2024,N/A,7 calendar days after Election Day,11/12/2024
South Carolina,2 calendar days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/17/2024,N/A,2 calendar days after Election Day,11/7/2024
South Dakota,Election Day,Election Day,LOW,"Post, Electronic",Post,10/15/2024,11/5/2024,Election Day,11/5/2024
Tennessee,Election Day,Not required,LOW,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
Texas,6 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/20/2024,11/5/2024,5 calendar days after Election Day,11/10/2024
U.S. Virgin Islands,10 business days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/25/2024,N/A,10 business days after Election Day,11/15/2024
Utah,13 calendar days after Election Day,Election Day,LOW,"Post, Electronic","Post, Electronic",10/28/2024,11/5/2024,13 calendar days after Election Day,11/18/2024
Vermont,Election Day,Not required,LOW,Post,Post,10/15/2024,N/A,Election Day,11/5/2024
Virginia,3 calendar days after Election Day,Election Day,LOW,"Post, Electronic",Post,10/18/2024,11/5/2024,3 calendar days after Election Day,11/8/2024
Washington,20 calendar days after Election Day,Election Day,LOW,"Post, Electronic, Other","Post, Electronic",11/4/2024,11/5/2024,20 calendar days after Election Day,11/25/2024
West Virginia,6 calendar days after Election Day,Not required,LOW,"Post, Electronic","Post, Electronic",10/21/2024,N/A,6 calendar days after Election Day,11/11/2024
Wisconsin,Election Day,Not required,HIGH,"Post, Electronic, Other",Post,10/15/2024,N/A,Election Day,11/5/2024
Wyoming,Election Day,Not required,LOW,"Post, Electronic",Post,10/15/2024,N/A,Election Day,11/5/2024
